,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,X2타,X3타,홈런,볼넷,고4,사구,삼진,보크,폭투,자책점,비율.1,비율.2,비율.3,비율.4,WAR,WPA
342,장웅정,21한,-0.13,4,0,0,0,0,0,0,0,7.1,8,8,38,15,4,0,4,2,0,0,4,0,1,9.82,10.15,2.32,44.6,43.9,-0.13,-0.09
352,강경학,21한,-0.14,1,0,0,0,0,0,0,0,0.2,4,4,8,3,1,0,0,2,0,1,0,0,0,54,16.83,7.5,8.1,26.6,-0.14,0
382,이채호,21S,-0.14,3,0,0,0,0,0,0,0,5,7,4,27,8,0,0,2,3,0,0,3,0,1,7.2,9.13,2.2,62.3,50.2,-0.14,-0.01
392,김세현,21S,-0.14,5,0,0,0,0,0,0,0,4.1,5,5,28,9,2,0,0,7,1,0,5,1,0,10.38,5.18,3.69,43.2,86.9,-0.14,-0.05
402,정성종,21롯,-0.14,12,0,0,0,0,0,0,0,12,12,11,65,19,1,0,2,8,0,1,4,0,2,8.25,7.08,2.25,55.1,63.1,-0.14,-0.1
413,김동우,21롯,-0.15,5,0,0,0,0,0,0,0,5,7,6,30,10,0,0,1,5,0,0,3,0,2,10.8,7.73,3,42.1,57.8,-0.15,-0.02
422,차명진,21기,-0.16,4,0,0,3,0,1,0,0,10.2,9,9,57,12,3,0,1,13,0,1,6,0,0,7.59,7.36,2.34,58.6,60.5,-0.16,-0.41
432,임규빈,21키,-0.16,5,0,0,0,0,0,0,0,8.2,10,10,43,13,6,0,3,4,0,0,6,0,0,10.38,7.83,1.96,42.7,53.9,-0.16,0
442,양창섭,21삼,-0.16,9,0,0,0,1,1,0,1,15,11,11,73,21,5,0,3,8,0,0,13,0,1,6.6,5.8,1.93,68.4,78.7,-0.16,-0.4
452,최동환,21L,-0.16,8,0,0,0,0,0,0,0,5.2,6,6,28,6,1,0,0,4,0,2,2,0,0,9.53,5.8,1.77,45.3,76.1,-0.16,0
462,이상동,21K,-0.17,6,0,0,0,0,1,0,1,6.1,6,6,29,7,0,0,0,3,0,0,5,0,1,8.53,3.18,1.58,52.7,140.4,-0.17,-0.28
472,박재민,21롯,-0.17,5,0,0,0,0,0,0,0,2.2,5,5,13,3,1,0,1,2,0,0,2,0,0,16.88,8.96,1.88,26.9,49.9,-0.17,-0.03
502,김유영,21롯,-0.17,26,0,0,0,1,0,0,0,18.2,16,15,92,21,4,0,1,14,0,2,17,0,2,7.23,4.78,1.88,62.8,93.4,-0.17,-0.11
513,김태현,21N,-0.18,6,0,0,0,0,0,0,0,5.1,8,7,32,5,0,0,0,7,0,4,3,0,3,11.81,8.4,2.25,38.4,53.2,-0.18,-0.04
522,이종민,21키,-0.18,2,0,0,0,0,0,0,0,2.1,6,6,17,4,0,0,1,7,0,0,3,0,0,23.14,15.33,4.71,19.2,28,-0.18,-0.01
532,이정현,21K,-0.19,2,0,0,1,0,1,0,0,8.2,9,9,38,12,3,0,3,5,0,0,1,0,0,9.35,9.33,1.96,48.1,47.3,-0.19,-0.33
542,김진호,21N,-0.19,1,0,0,1,0,1,0,0,1,3,3,7,2,0,0,0,3,0,0,1,0,1,27,10.33,5,16.8,43.8,-0.19,-0.23
552,양선률,21S,-0.19,1,0,0,1,0,1,0,0,1,3,3,10,3,0,0,0,3,0,1,1,0,1,27,13.33,6,16.6,33.8,-0.19,-0.28
562,한승혁,21롯,-0.19,7,0,0,0,0,0,0,0,4,6,6,25,6,1,0,1,5,0,1,5,0,2,13.5,8.58,2.75,33.7,52.1,-0.19,-0.21
